Country,Year,Region,Emissions,GDP,Energy,Disasters,Temperature
United States,1980,United States,4720000,-1.13,7940,3,52.39
United States,1981,United States,4540000,1.5,7650,2,53.12
United States,1982,United States,4310000,-2.82,7260,3,51.34
United States,1983,United States,4340000,3.25,7200,5,51.88
United States,1984,United States,4480000,6.36,7440,2,51.97
United States,1985,United States,4490000,2.95,7460,5,51.3
United States,1986,United States,4500000,2.5,7380,2,53.32
United States,1987,United States,4690000,2.6,7620,0,53.33
United States,1988,United States,4890000,3.26,7850,1,52.63
United States,1989,United States,4960000,2.49,7890,5,51.84
United States,1990,United States,4820000,0.614,7670,3,53.51
United States,1991,United States,4820000,-1.58,7630,4,53.16
United States,1992,United States,4910000,1.98,7680,7,52.6
United States,1993,United States,5030000,1.52,7710,5,51.26
United States,1994,United States,5090000,2.84,7760,6,52.87
United States,1995,United States,5130000,1.33,7760,5,52.65
United States,1996,United States,5250000,2.54,7840,4,51.88
United States,1997,United States,5370000,3.21,7830,3,52.2
United States,1998,United States,5400000,3.14,7800,10,54.23
United States,1999,United States,5500000,3.63,7920,5,53.88
United States,2000,United States,5690000,2.99,8060,4,53.27
United States,2001,United States,5600000,0.0842,7830,2,53.69
United States,2002,United States,5640000,0.873,7840,4,53.21
United States,2003,United States,5680000,1.66,7790,7,53.26
United States,2004,United States,5760000,2.52,7880,5,53.1
United States,2005,United States,5790000,2.13,7850,6,53.64
United States,2006,United States,5700000,1.67,7700,7,54.25
United States,2007,United States,5790000,0.948,7760,5,53.65
United States,2008,United States,5610000,-1.27,7490,12,52.29
United States,2009,United States,5260000,-4.33,7060,7,52.39
United States,2010,United States,5400000,1.98,7160,6,52.98
United States,2011,United States,5290000,1.11,7030,16,53.18
United States,2012,United States,5120000,2.06,6870,11,55.28
United States,2013,United States,5160000,1.16,6900,9,52.43
United States,2014,United States,5250000,1.98,6960,8,52.54
